:instance,:|V|,:|A|,:|B|,:T,:model,:initialLP,:yLP,:yLPTime,:intersectionCuts1,:intersectionCuts2,:intersectionCutsTime,:maxFlowLP,:maxFlowCuts,:maxFlowCutsTime,:lazyCuts,:cost,:solverTime,:relativeGAP,:nodeCount,:meters,:tourMinutes,:blocksMeters
notified-alto-santo-1000-2016,137,18632,73,120,IP,180,180,0.530572166,1,429,40.53790815,-,-,-,0,180,1.80503988265991,0,0,27656.96,61.61853,4474.02
notified-alto-santo-1000-2017,137,18632,73,120,IP,939,939,0.549696342,1,429,39.975213816,-,-,-,0,939,1.70644307136536,0,0,38274.71,107.832585,11204.56
notified-alto-santo-1000-2018,137,18632,73,120,IP,947,947,0.529346821,1,429,40.129215732,-,-,-,0,947,1.67652106285095,0,0,38274.71,107.832585,11204.56
notified-alto-santo-1000-2019,137,18632,73,120,IP,947,947,0.52716754,1,429,40.055710239,-,-,-,0,947,1.68116903305054,0,0,38274.71,107.832585,11204.56
notified-alto-santo-1000-2020,137,18632,73,120,IP,982,982,0.547966894,1,429,40.074494776,-,-,-,0,982,1.71172380447388,0,0,38274.71,107.832585,11204.56
notified-alto-santo-1000-2021,137,18632,73,120,IP,1056,1056,0.549047902,1,429,39.961977137,-,-,-,0,1056,1.64574098587036,0,0,35087.2,103.05132,11204.56
notified-alto-santo-2000-2016,177,31152,88,120,IP,126,126,0.907375783,3,525,66.822405249,-,-,-,0,126,4.27129793167114,0,0,31023.38,61.3551,3293.34
notified-alto-santo-2000-2017,177,31152,88,120,IP,832,832,1.002878627,3,525,66.970039843,-,-,-,0,832,4.98246693611145,0,0,34890.78,101.0412,10823.34
notified-alto-santo-2000-2018,177,31152,88,120,IP,832,832,0.984301333,3,525,66.79490114,-,-,-,0,832,4.95691108703613,0,0,34890.78,101.0412,10823.34
notified-alto-santo-2000-2019,177,31152,88,120,IP,832,832,0.990275855,3,525,67.003763301,-,-,-,0,832,4.98161888122559,0,0,34890.78,101.0412,10823.34
notified-alto-santo-2000-2020,177,31152,88,120,IP,861,861,0.991993774,3,525,67.140998515,-,-,-,0,861,4.99407386779785,0,0,37856.99,105.490515,10823.34
notified-alto-santo-2000-2021,177,31152,88,120,IP,945,945,1.006016622,3,525,66.630690804,-,-,-,0,945,3.46422815322876,0,0,32041.83,109.89171,13739.77
notified-alto-santo-3000-2016,263,68906,114,120,IP,163,163,2.564659148,10,587,127.750049152,-,-,-,0,163,12.3728518486023,0,0,38632.23,76.69971,4166.97
notified-alto-santo-3000-2017,263,68906,114,120,IP,952,952,2.886846755,10,587,128.642046655,-,-,-,0,952,14.6318600177765,0,0,29444.67,96.917625,11722.36
notified-alto-santo-3000-2018,263,68906,114,120,IP,952,952,2.818160162,10,587,128.257011093,-,-,-,0,952,14.5143089294434,0,0,29444.67,96.917625,11722.36
notified-alto-santo-3000-2019,263,68906,114,120,IP,952,952,2.884727871,10,587,127.959764088,-,-,-,0,952,14.5438570976257,0,0,29444.67,96.917625,11722.36
notified-alto-santo-3000-2020,263,68906,114,120,IP,988,988,2.826506283,10,587,127.84687887,-,-,-,0,988,14.510351896286,0,0,29444.67,96.917625,11722.36
notified-alto-santo-3000-2021,263,68906,114,120,IP,1095,1095,2.795784323,10,587,128.033254756,-,-,-,0,1095,14.562931060791,0,0,29444.67,96.917625,11722.36
