:instance,:|V|,:|A|,:|B|,:T,:model,:initialLP,:yLP,:yLPTime,:intersectionCuts1,:intersectionCuts2,:intersectionCutsTime,:maxFlowLP,:maxFlowCuts,:maxFlowCutsTime,:lazyCuts,:cost,:solverTime,:relativeGAP,:nodeCount,:meters,:tourMinutes,:blocksMeters
notified-alto-santo-1000-2016,137,18632,73,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,180.0,900.2635159492493,-,-,-,-,-
notified-alto-santo-1000-2017,137,18632,73,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,939.0,900.1680328845978,-,-,-,-,-
notified-alto-santo-1000-2018,137,18632,73,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,947.0,900.324450969696,-,-,-,-,-
notified-alto-santo-1000-2019,137,18632,73,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,947.0,900.3433289527893,-,-,-,-,-
notified-alto-santo-1000-2020,137,18632,73,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,982.0,900.1406350135803,-,-,-,-,-
notified-alto-santo-1000-2021,137,18632,73,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,1056.0,900.2419748306274,-,-,-,-,-
notified-alto-santo-2000-2016,177,31152,88,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,126.0,900.5390110015869,-,-,-,-,-
notified-alto-santo-2000-2017,177,31152,88,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,832.0,900.2000868320465,-,-,-,-,-
notified-alto-santo-2000-2018,177,31152,88,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,832.0,900.3980369567871,-,-,-,-,-
notified-alto-santo-2000-2019,177,31152,88,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,832.0,900.568675994873,-,-,-,-,-
notified-alto-santo-2000-2020,177,31152,88,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,861.0,900.5862500667572,-,-,-,-,-
notified-alto-santo-2000-2021,177,31152,88,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,945.0,900.3290240764618,-,-,-,-,-
notified-alto-santo-3000-2016,263,68906,114,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,163.0,901.3192300796509,-,-,-,-,-
notified-alto-santo-3000-2017,263,68906,114,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,952.0,900.0291819572449,-,-,-,-,-
notified-alto-santo-3000-2018,263,68906,114,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,952.0,901.2371139526367,-,-,-,-,-
notified-alto-santo-3000-2019,263,68906,114,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,952.0,900.132973909378,-,-,-,-,-
notified-alto-santo-3000-2020,263,68906,114,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,988.0,900.0361478328705,-,-,-,-,-
notified-alto-santo-3000-2021,263,68906,114,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,1095.0,900.7460730075836,-,-,-,-,-
