:instance,:|V|,:|A|,:|B|,:T,:model,:initialLP,:yLP,:yLPTime,:intersectionCuts1,:intersectionCuts2,:intersectionCutsTime,:maxFlowLP,:maxFlowCuts,:maxFlowCutsTime,:lazyCuts,:cost,:solverTime,:relativeGAP,:nodeCount,:meters,:tourMinutes,:blocksMeters
notified-alto-santo-1000-2016,137,18632,73,120.0,IP,180.0,180.0,0.530935119,-,-,-,-,-,-,0,180.0,1.8036410808563232,0.0,0,27656.96000000001,61.61853000000002,4474.02
notified-alto-santo-1000-2017,137,18632,73,120.0,IP,939.0,939.0,0.534271094,-,-,-,-,-,-,0,939.0,1.7057900428771973,0.0,0,38274.70999999998,107.83258499999997,11204.56
notified-alto-santo-1000-2018,137,18632,73,120.0,IP,947.0,947.0,0.550169544,-,-,-,-,-,-,0,947.0,1.6552319526672363,0.0,0,38274.70999999998,107.83258499999997,11204.56
notified-alto-santo-1000-2019,137,18632,73,120.0,IP,947.0,947.0,0.519064387,-,-,-,-,-,-,0,947.0,1.6638150215148926,0.0,0,38274.70999999998,107.83258499999997,11204.56
notified-alto-santo-1000-2020,137,18632,73,120.0,IP,982.0,982.0,0.542103,-,-,-,-,-,-,0,982.0,1.6510050296783447,0.0,0,38274.70999999998,107.83258499999997,11204.56
notified-alto-santo-1000-2021,137,18632,73,120.0,IP,1056.0,1056.0,0.522092022,-,-,-,-,-,-,0,1056.0,1.6750080585479736,0.0,0,35087.19999999999,103.05132,11204.56
notified-alto-santo-2000-2016,177,31152,88,120.0,IP,126.0,126.0,0.920546952,-,-,-,-,-,-,0,126.0,4.2516560554504395,0.0,0,31023.38,61.35510000000001,3293.34
notified-alto-santo-2000-2017,177,31152,88,120.0,IP,832.0,832.0,0.98147954,-,-,-,-,-,-,0,832.0,4.938136100769043,0.0,0,34890.78000000002,101.04120000000003,10823.340000000002
notified-alto-santo-2000-2018,177,31152,88,120.0,IP,832.0,832.0,1.000497002,-,-,-,-,-,-,0,832.0,4.932680130004883,0.0,0,34890.78000000002,101.04120000000003,10823.340000000002
notified-alto-santo-2000-2019,177,31152,88,120.0,IP,832.0,832.0,0.995279708,-,-,-,-,-,-,0,832.0,4.971638917922974,0.0,0,34890.78000000002,101.04120000000003,10823.340000000002
notified-alto-santo-2000-2020,177,31152,88,120.0,IP,861.0,861.0,1.010949655,-,-,-,-,-,-,0,861.0,4.961570978164673,0.0,0,37856.99,105.490515,10823.340000000002
notified-alto-santo-2000-2021,177,31152,88,120.0,IP,945.0,945.0,1.033713857,-,-,-,-,-,-,0,945.0,3.4520580768585205,0.0,0,32041.83,109.89171,13739.77
notified-alto-santo-3000-2016,263,68906,114,120.0,IP,163.0,163.0,2.512415648,-,-,-,-,-,-,0,163.0,12.396831035614014,0.0,0,38632.229999999996,76.69971,4166.97
notified-alto-santo-3000-2017,263,68906,114,120.0,IP,952.0,952.0,2.962538391,-,-,-,-,-,-,0,952.0,14.610093116760254,0.0,0,29444.67,96.91762499999999,11722.360000000002
notified-alto-santo-3000-2018,263,68906,114,120.0,IP,952.0,952.0,2.777574625,-,-,-,-,-,-,0,952.0,14.486106157302856,0.0,0,29444.67,96.91762499999999,11722.360000000002
notified-alto-santo-3000-2019,263,68906,114,120.0,IP,952.0,952.0,2.917017342,-,-,-,-,-,-,0,952.0,14.604022979736328,0.0,0,29444.67,96.91762499999999,11722.360000000002
notified-alto-santo-3000-2020,263,68906,114,120.0,IP,988.0,988.0,2.809096664,-,-,-,-,-,-,0,988.0,14.527694940567017,0.0,0,29444.67,96.91762499999999,11722.360000000002
notified-alto-santo-3000-2021,263,68906,114,120.0,IP,1095.0,1095.0,2.83846829,-,-,-,-,-,-,0,1095.0,14.455796003341675,0.0,0,29444.67,96.91762499999999,11722.360000000002
