:instance,:|V|,:|A|,:|B|,:T,:model,:initialLP,:yLP,:yLPTime,:intersectionCuts1,:intersectionCuts2,:intersectionCutsTime,:maxFlowLP,:maxFlowCuts,:maxFlowCutsTime,:lazyCuts,:cost,:solverTime,:relativeGAP,:nodeCount,:meters,:tourMinutes,:blocksMeters
notified-limoeiro-1000-2015,290,83810,152,120.0,IP,91.0,91.0,3.352995359,7,965,1273.860768638,-,-,-,0,91.0,11.665305137634277,0.0,0,44037.19000000001,90.28234500000002,5383.679999999999
notified-limoeiro-1000-2016,290,83810,152,120.0,IP,127.0,127.0,3.382064179,7,965,1273.539252963,-,-,-,0,127.0,20.978760957717896,0.0,0,54233.39,113.05654500000001,7045.88
notified-limoeiro-1000-2017,290,83810,152,120.0,IP,245.0,245.0,4.078009486,7,965,1274.043497876,-,-,-,0,245.0,45.31953811645508,0.0,0,41851.31,116.05592999999999,11839.770000000002
notified-limoeiro-1000-2018,290,83810,152,120.0,IP,253.0,253.0,4.254618541,7,965,1273.917290194,-,-,-,0,253.0,45.19609022140503,0.0,0,41851.31,116.05592999999999,11839.770000000002
notified-limoeiro-1000-2019,290,83810,152,120.0,IP,337.0,337.0,4.174397684,7,965,1274.685691154,-,-,-,0,337.0,64.73081398010254,0.0,0,34525.83,116.14108499999999,14300.520000000002
notified-limoeiro-1000-2020,290,83810,152,120.0,IP,888.613712101568,887.0,5.697504917,7,965,1275.269707043,-,-,-,0,867.0,3604.6613631248474,0.02191172306912695,8720,28351.69000000001,118.41306,16863.45
notified-limoeiro-1000-2021,290,83810,152,120.0,IP,900.6953793725571,897.0,6.00687608,7,965,1272.686527951,-,-,-,0,881.0,3612.816565990448,0.019508953006830008,11661,28395.210000000006,119.01339,16982.350000000002
notified-limoeiro-2000-2015,757,572292,443,120.0,IP,864.0,864.0,64.058035742,21,2547,10797.836832725,-,-,-,0,864.0,3601.5392661094666,0.0,479,38006.920000000006,118.68414000000001,13705.280000000002
notified-limoeiro-2000-2016,757,572292,443,120.0,IP,1673.0,1673.0,64.373226608,21,2547,10816.923779157,-,-,-,0,193.0,3604.650393009186,7.668393782379447,1558,45648.26000000001,103.84050000000002,7859.580000000001
notified-limoeiro-2000-2017,757,572292,443,120.0,IP,2562.700416476732,2561.0,176.245326101,21,2547,10841.635949901,-,-,-,0,46.0,3603.5426421165466,54.679752152571574,979,1926.2599999999995,11.557560000000002,1926.2599999999998
notified-limoeiro-2000-2018,757,572292,443,120.0,IP,2635.05665277981,2635.0,88.987505973,21,2547,10812.133512186,-,-,-,0,61.0,3603.109477043152,42.17619644534742,842,13991.419999999996,36.4629,3439.06
notified-limoeiro-2000-2019,757,572292,443,120.0,IP,4252.205423281966,4252.0,68.077567007,21,2547,10830.300197275,-,-,-,0,176.0,3604.2099549770355,23.148507545992366,1472,6494.04,26.64999,3757.54
notified-limoeiro-2000-2020,757,572292,443,120.0,IP,10588.868991288733,10587.0,114.653839654,21,2547,10851.61653565,-,-,-,0,71.0,3602.1173350811005,148.01865738029588,3411,1835.8000000000002,11.014800000000001,1835.8
notified-limoeiro-2000-2021,757,572292,443,120.0,IP,11238.040043210332,11237.0,123.311642256,21,2547,10847.785935603,-,-,-,0,75.0,3603.0308010578156,148.73083508292248,1953,1835.8000000000002,11.014800000000001,1835.8
notified-limoeiro-3000-2015,905,818120,517,120.0,IP,840.0,840.0,108.785707654,23,3020,11729.084311075,-,-,-,0,835.0,3602.8366310596466,0.005988023952095091,0,42290.51999999998,116.723295,11841.670000000002
notified-limoeiro-3000-2016,905,818120,517,120.0,IP,1689.3771376221498,1688.0,160.094881578,23,3020,11718.556561017,-,-,-,0,10.0,3610.9292459487915,167.8222853671247,366,997.7600000000001,5.986559999999999,997.7599999999999
notified-limoeiro-3000-2017,905,818120,517,120.0,IP,2523.9269634976918,2523.0,245.647463977,23,3020,11714.136705183,-,-,-,0,10.0,3602.924339056015,251.22057678566293,451,997.7600000000001,5.986559999999999,997.7599999999999
notified-limoeiro-3000-2018,905,818120,517,120.0,IP,2590.463799079989,2590.0,243.12839114,23,3020,11738.814722131,-,-,-,0,18.0,3603.020283937454,142.82974003964344,1636,1680.9299999999998,8.826389999999998,1401.11
notified-limoeiro-3000-2019,905,818120,517,120.0,IP,4185.475439169105,4185.0,125.576517405,23,3020,11738.542811213,-,-,-,0,151.0,3610.1081569194794,26.7045752193343,1776,50572.670000000006,118.52463000000002,9481.25
notified-limoeiro-3000-2020,905,818120,517,120.0,IP,10565.521929530576,10564.0,182.786996291,23,3020,11743.936486692,-,-,-,0,46.0,3603.7442338466644,228.53708819308525,3251,1835.8,11.014800000000001,1835.8
notified-limoeiro-3000-2021,905,818120,517,120.0,IP,11239.413902919869,11238.0,191.549516446,23,3020,11751.128375385,-,-,-,0,9936.0,3602.9453299045563,0.13050997775781653,3271,2449.0100000000007,13.440765,2170.5
