:instance,:|V|,:|A|,:|B|,:T,:model,:initialLP,:yLP,:yLPTime,:intersectionCuts1,:intersectionCuts2,:intersectionCutsTime,:maxFlowLP,:maxFlowCuts,:maxFlowCutsTime,:lazyCuts,:cost,:solverTime,:relativeGAP,:nodeCount,:meters,:tourMinutes,:blocksMeters
notified-limoeiro-1000-2015,290,83810,152,120.0,IP,91.0,91.0,3.411563203,-,-,-,-,-,-,0,91.0,11.803000926971436,0.0,0,44037.19000000001,90.28234500000002,5383.679999999999
notified-limoeiro-1000-2016,290,83810,152,120.0,IP,127.0,127.0,3.456115579,-,-,-,-,-,-,0,127.0,21.134915113449097,0.0,0,54233.39,113.05654500000001,7045.88
notified-limoeiro-1000-2017,290,83810,152,120.0,IP,245.0,245.0,4.442378541,-,-,-,-,-,-,0,245.0,45.447296142578125,0.0,0,41851.31,116.05592999999999,11839.770000000002
notified-limoeiro-1000-2018,290,83810,152,120.0,IP,253.0,253.0,4.077496768,-,-,-,-,-,-,0,253.0,45.83032202720642,0.0,0,41851.31,116.05592999999999,11839.770000000002
notified-limoeiro-1000-2019,290,83810,152,120.0,IP,337.0,337.0,4.145321047,-,-,-,-,-,-,0,337.0,64.69587111473083,0.0,0,34525.83,116.14108499999999,14300.520000000002
notified-limoeiro-1000-2020,290,83810,152,120.0,IP,888.6137121015679,887.0,5.59340922,-,-,-,-,-,-,0,866.0,3605.184870004654,0.02309175970084636,8557,28540.130000000012,118.36416000000001,16789.77
notified-limoeiro-1000-2021,290,83810,152,120.0,IP,900.695379372557,897.0,6.032258803,-,-,-,-,-,-,0,881.0,3612.2655668258667,0.019508953006830008,11664,28395.210000000006,119.01339,16982.350000000002
notified-limoeiro-2000-2015,757,572292,443,120.0,IP,864.0,864.0,65.021083228,-,-,-,-,-,-,0,864.0,3601.8526458740234,0.0,467,38006.920000000006,118.68414000000001,13705.280000000002
notified-limoeiro-2000-2016,757,572292,443,120.0,IP,1673.0,1673.0,68.350493162,-,-,-,-,-,-,0,193.0,3604.428341150284,7.668393782379447,1542,45648.26000000001,103.84050000000002,7859.580000000001
notified-limoeiro-2000-2017,757,572292,443,120.0,IP,2562.7004164767313,2561.0,177.946773935,-,-,-,-,-,-,0,46.0,3603.2945511341095,54.679752152571574,979,1926.2599999999995,11.557560000000002,1926.2599999999998
notified-limoeiro-2000-2018,757,572292,443,120.0,IP,2635.05665277981,2635.0,88.00806607,-,-,-,-,-,-,0,61.0,3603.084876060486,42.17619644534742,855,13991.419999999996,36.4629,3439.06
notified-limoeiro-2000-2019,757,572292,443,120.0,IP,4252.205423281966,4252.0,68.915996963,-,-,-,-,-,-,0,176.0,3604.272670984268,23.148507545992366,1470,6494.04,26.64999,3757.54
notified-limoeiro-2000-2020,757,572292,443,120.0,IP,10588.868991288733,10587.0,113.170270357,-,-,-,-,-,-,0,71.0,3602.08230304718,148.01865738029588,3411,1835.8000000000002,11.014800000000001,1835.8
notified-limoeiro-2000-2021,757,572292,443,120.0,IP,11238.04004321033,11237.0,122.19375477,-,-,-,-,-,-,0,75.0,3602.021984100342,148.73083508292248,1925,1835.8000000000002,11.014800000000001,1835.8
notified-limoeiro-3000-2015,905,818120,517,120.0,IP,840.0,840.0,110.468586851,-,-,-,-,-,-,0,835.0,3602.575313091278,0.005988023952095091,0,42290.51999999998,116.723295,11841.670000000002
notified-limoeiro-3000-2016,905,818120,517,120.0,IP,1689.37713762215,1688.0,158.679434574,-,-,-,-,-,-,0,10.0,3608.3949649333954,167.8222853671247,374,997.7600000000001,5.986559999999999,997.7599999999999
notified-limoeiro-3000-2017,905,818120,517,120.0,IP,2523.9269634976913,2523.0,243.96568984,-,-,-,-,-,-,0,10.0,3603.325201034546,251.22057678566293,455,997.7600000000001,5.986559999999999,997.7599999999999
notified-limoeiro-3000-2018,905,818120,517,120.0,IP,2590.463799079989,2590.0,243.030581752,-,-,-,-,-,-,0,18.0,3603.549378156662,142.82974003964344,1635,1680.9299999999998,8.826389999999998,1401.11
notified-limoeiro-3000-2019,905,818120,517,120.0,IP,4185.475439169105,4185.0,125.44304792,-,-,-,-,-,-,0,151.0,3607.9691410064697,26.7045752193343,1774,50572.670000000006,118.52463000000002,9481.25
notified-limoeiro-3000-2020,905,818120,517,120.0,IP,10565.521929530576,10564.0,184.166738492,-,-,-,-,-,-,0,46.0,3602.04309797287,228.53708819308525,3251,1835.8,11.014800000000001,1835.8
notified-limoeiro-3000-2021,905,818120,517,120.0,IP,11239.413902919867,11238.0,187.252216463,-,-,-,-,-,-,0,9936.0,3600.972095012665,0.13050997775781653,3271,2449.0100000000007,13.440765,2170.5
